query_id,query,query_type,query_source,primary_category,gold_doc_id,gold_section_id,top1_doc_id,top1_section_id,rank_of_gold_section,rank_of_gold_doc,matched_section,matched_doc,latency_ms
0035bbca-a1fd-4d96-891f-5a5d9f8f3c66,In what ways do large financial institutions influence market equilibrium prices?,abstractive,text-image,q-fin.TR,2404.08757v2,1,2404.08757v2,6,2,1,True,True,6293.9
0037d2b2-ab5a-435a-8554-c2e7fd81b390,How do sectoral productivity shocks influence overall economic output?,abstractive,text,econ.TH,2404.18137v2,0,2404.18137v2,0,1,1,True,True,930.1
00707172-75cc-498a-b86d-6cacf6917d78,What dataset is used for consistent pronunciation from a single native speaker?,extractive,text,cs.SD,2410.14997v2,6,2410.14997v2,6,1,1,True,True,782.0
00f1f703-087e-4808-b838-07c819e68335,What is the correlation between the tax instrument and recovered tax shock during the Great Moderation?,abstractive,text,econ.EM,2403.08753v2,11,2403.08753v2,11,1,1,True,True,816.0
0103999e-e3b1-4aaa-8513-016c04344183,What role do Parsimony Anomalous Gene Trees (PAGTs) play in evaluating phylogenetic trees?,abstractive,text-image,q-bio.PE,2407.02634v3,9,2407.02634v3,8,2,1,True,True,524.0
010ee499-211a-4195-a32b-15ce468c3588,For which data-generating process does the conditional confidence interval have a coverage frequency different from that of the conventional confidence interval?,abstractive,text-table,econ.EM,2403.00422v2,17,2403.00422v2,17,1,1,True,True,407.6
01143e90-d880-4e06-b81d-fded20cc3a4a,Can the infimum in the representation of $\psi(x)$ be attained if $\psi(x)<\infty$?,extractive,text,math.ST,2403.06613v3,4,2403.06613v3,7,2,1,True,True,262.2
019e5052-ef2b-44d3-9748-8f8d0038e528,What does a decrease in both Rényi entropy and BSQ indicate about spectrogram quality?,abstractive,text-table-image,cs.LG,2406.11917v2,21,2406.11917v2,21,1,1,True,True,405.4
02205406-1428-4f9d-93f0-360c574805b7,How do the concepts of Deligne's conjecture extend to quantum analogs within mathematical categories?,abstractive,text-table-image,math.QA,2402.03637v2,3,2402.03637v2,3,1,1,True,True,378.6
02bcc959-051f-4595-bd71-338b7eba4f51,How does the distribution of nodule sizes impact the outcomes of a virtual screening trial?,abstractive,text-image,eess.IV,2404.11221v4,19,2404.11221v4,10,9,1,True,True,514.0
030759dd-8872-49f0-869c-be7c5a9cebb9,What is Task Level Pipelining (TLP) used for in FPGA acceleration?,abstractive,text,physics.flu-dyn,2411.16245v2,7,2411.16245v2,7,1,1,True,True,430.5
